source_skill,recommended_skill,similarity_score,rank
Git (Version Control System),Version Control,0.7441,1
Git (Version Control System),Project Controls,0.2399,2
Git (Version Control System),Threat Modeling,0.0,3
Git (Version Control System),Quality Management,0.0,4
Git (Version Control System),Engineering Management,0.0,5
Threat Modeling,Threat Management,0.3297,1
Threat Modeling,Predictive Modeling,0.2892,2
Threat Modeling,Cyber Threat Intelligence,0.2295,3
Threat Modeling,Large Language Modeling,0.2236,4
Threat Modeling,Git (Version Control System),0.0,5
Quality Management,Data Quality,0.3561,1
Quality Management,Quality Assessment,0.3297,2
Quality Management,Project Management,0.199,3
Quality Management,Engineering Management,0.1756,4
Quality Management,Configuration Management,0.1724,5
Engineering Management,Prompt Engineering,0.2789,1
Engineering Management,Feature Engineering,0.2789,2
Engineering Management,Search Engine Marketing,0.2266,3
Engineering Management,Search Engine Optimization,0.2207,4
Engineering Management,Project Management,0.205,5
Process Optimization,Search Engine Optimization,0.2536,1
Process Optimization,Continuous Improvement Process,0.2363,2
Process Optimization,Git (Version Control System),0.0,3
Process Optimization,Threat Modeling,0.0,4
Process Optimization,Quality Management,0.0,5
Information Architecture,Information Systems Security,0.3348,1
Information Architecture,Network Architecture,0.3323,2
Information Architecture,Git (Version Control System),0.0,3
Information Architecture,Threat Modeling,0.0,4
Information Architecture,Quality Management,0.0,5
Generative AI,Generative AI Agents,0.7441,1
Generative AI,AI Personalization,0.2919,2
Generative AI,Git (Version Control System),0.0,3
Generative AI,Threat Modeling,0.0,4
Generative AI,Quality Management,0.0,5
Network Protocols,Network Security,0.2524,1
Network Protocols,Computer Networking,0.2478,2
Network Protocols,Network Architecture,0.2366,3
Network Protocols,Network Troubleshooting,0.2301,4
Network Protocols,Artificial Neural Networks,0.1776,5
IT Infrastructure,Cloud Infrastructure,0.5575,1
IT Infrastructure,Infrastructure as Code (IaC),0.4006,2
IT Infrastructure,Git (Version Control System),0.0,3
IT Infrastructure,Threat Modeling,0.0,4
IT Infrastructure,Quality Management,0.0,5
Interactive Data Visualization,Data Visualization,0.701,1
